# Baseline score copy block

Format: Lever ID | Baseline Mastery | Confidence | Need Score

L01 | 0.5289 | 0.4515 | 0.2524
L02 | 0.6028 | 0.5100 | 0.2013
L03 | 0.5127 | 0.4998 | 0.2721
L04 | 0.6238 | 0.3979 | 0.1752
L05 | 0.5477 | 0.4183 | 0.2334
L06 | 0.5000 | 0.4225 | 0.2719
L07 | 0.6068 | 0.4793 | 0.1952
L08 | 0.5241 | 0.4336 | 0.2539
L09 | 0.5166 | 0.5028 | 0.2693
L10 | 0.5208 | 0.5420 | 0.2710
L11 | 0.5241 | 0.4336 | 0.2539
L12 | 0.7805 | 0.3888 | 0.0777
L13 | 0.6947 | 0.4797 | 0.1336
L14 | 0.6627 | 0.5099 | 0.1575
L15 | 0.5000 | 0.4225 | 0.2719
L16 | 0.4350 | 0.4452 | 0.3304
L17 | 0.5120 | 0.4117 | 0.2607
L18 | 0.4350 | 0.4452 | 0.3304
L19 | 0.6664 | 0.5028 | 0.1544
L20 | 0.6581 | 0.4875 | 0.1589
L21 | 0.5821 | 0.4685 | 0.2127
L22 | 0.5302 | 0.4337 | 0.2491
L23 | 0.4741 | 0.5358 | 0.3106
L24 | 0.3788 | 0.5198 | 0.3956
L25 | 0.4706 | 0.4403 | 0.2990
L26 | 0.3336 | 0.5028 | 0.4358
L27 | 0.3703 | 0.4732 | 0.3944
L28 | 0.5184 | 0.4264 | 0.2575
L29 | 0.4778 | 0.4974 | 0.3015
L30 | 0.6157 | 0.4421 | 0.1851
L31 | 0.5320 | 0.4577 | 0.2507
L32 | 0.5000 | 0.5415 | 0.2887
L33 | 0.5254 | 0.3712 | 0.2447
L34 | 0.3557 | 0.4336 | 0.4000
L35 | 0.5622 | 0.4798 | 0.2294
L36 | 0.6297 | 0.5551 | 0.1852
L37 | 0.5000 | 0.4225 | 0.2719
